estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_167,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_168,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_169,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_170,-1.0,2026-08-05 05:43:00,2026-08-05,05:43:00
sp_171,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_172,-1.0,2026-08-05 05:41:00,2026-08-05,05:41:00
sp_173,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_174,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_175,-1.0,2026-08-05 05:40:00,2026-08-05,05:40:00
sp_176,-1.0,2026-08-05 05:41:00,2026-08-05,05:41:00
sn_1001,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sn_1002,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sn_1003,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sn_1004,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sn_1005,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1007,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1008,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sn_1009,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1010,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1011,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1012,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1013,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1014,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1015,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1016,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1018,-1.0,2026-08-05 05:26:00,2026-08-05,05:26:00
sn_1019,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1021,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1023,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1030,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1031,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1033,-1.0,2026-08-05 00:56:00,2026-08-05,00:56:00
sn_1034,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1035,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1036,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1037,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1038,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1039,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1041,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1042,-1.0,2026-08-05 05:45:00,2026-08-05,05:45:00
sn_1044,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1045,-1.0,2026-08-05 00:03:00,2026-08-05,00:03:00
sn_1046,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1047,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1048,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1049,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1050,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1051,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1052,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1053,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1054,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1055,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1056,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1057,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1058,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sn_1059,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_501,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sm_502,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_503,-1.0,2026-08-05 05:43:00,2026-08-05,05:43:00
sm_504,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_505,0.0,2026-08-04 20:01:00,2026-08-04,20:01:00
sm_506,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_508,1.0,2026-08-03 08:56:00,2026-08-03,08:56:00
sm_509,-1.0,2026-08-05 00:39:00,2026-08-05,00:39:00
sm_511,-1.0,2026-08-05 01:58:00,2026-08-05,01:58:00
sm_512,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_513,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_514,-1.0,2026-08-05 05:44:00,2026-08-05,05:44:00
sm_515,-1.0,2026-08-05 05:46:00,2026-08-05,05:46:00
sm_516,-1.0,2026-08-05 05:43:00,2026-08-05,05:43:00
sm_517,-1.0,2026-08-05 05:43:00,2026-08-05,05:43:00
