estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad
sn_1012;ACTIVA;cal2;24.0;0.0;22/10/2025;11:04:00
sn_1008;ACTIVA;cal2;24.0;0.0;22/10/2025;11:29:00
sm_512;ACTIVA;cal2;0.0;0.0;22/10/2025;11:31:00
sm_510;ACTIVA;cal2;0.0;0.0;22/10/2025;11:31:00
sp_163;ACTIVA;cal1;;0.0;22/10/2025;11:27:00
sp_162;ACTIVA;cal1;;0.0;22/10/2025;11:27:00
sp_161;ACTIVA;cal1;;0.0;22/10/2025;11:27:00
sp_160;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sp_159;ACTIVA;cal1;;0.0;22/10/2025;11:25:00
sp_157;ACTIVA;cal1;;0.0;22/10/2025;11:27:00
sp_155;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_151;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_150;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_149;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_147;ACTIVA;cal1;;0.0;21/10/2025;16:41:00
sp_146;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_145;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_144;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_143;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_142;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_141;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_140;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_139;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_138;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_137;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_136;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_135;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_134;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_133;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_132;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_131;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_109;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_108;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_103;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_102;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_101;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sn_1048;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1047;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1045;ACTIVA;cal1;;0.0;22/10/2025;11:00:00
sn_1044;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1041;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1040;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1039;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1038;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1037;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1036;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1035;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1034;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1033;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1031;ACTIVA;cal1;;0.0;22/10/2025;11:30:00
sn_1030;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1021;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1019;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1018;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1016;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1014;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1013;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1010;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1007;ACTIVA;cal1;;0.0;22/10/2025;11:29:00
sn_1004;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sn_1003;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sn_1002;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sn_1001;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sm_516;ACTIVA;cal1;;0.0;22/10/2025;11:31:00
sm_515;ACTIVA;cal1;;0.0;22/10/2025;11:31:00
sm_514;ACTIVA;cal1;;0.0;22/10/2025;11:28:00
sm_513;ACTIVA;cal1;;0.0;22/10/2025;11:31:00
sm_511;ACTIVA;cal1;;0.0;22/10/2025;11:31:00
sm_509;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sm_508;ACTIVA;cal1;;0.0;21/10/2025;21:51:00
sm_507;ACTIVA;cal1;;0.0;22/10/2025;11:21:00
sm_506;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sm_505;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sm_504;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sm_503;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sm_502;ACTIVA;cal1;;0.0;22/10/2025;11:26:00
sp_104;ACTIVA;cal1;;1.0;20/10/2025;19:51:00
sn_1009;ACTIVA;cal1;;1.0;21/10/2025;3:23:00
sp_154;ACTIVA;cal1;;2.0;19/10/2025;17:11:00
sn_1022;ACTIVA;cal1;;2.0;19/10/2025;17:17:00
sn_1011;ACTIVA;cal1;;5.0;17/10/2025;9:51:00
sm_501;INACTIVA;cal1;;12.0;10/10/2025;0:26:00
sp_156;INACTIVA;cal1;;14.0;7/10/2025;12:31:00
sn_1023;INACTIVA;cal1;;15.0;6/10/2025;14:40:00
sn_1042;INACTIVA;cal1;;19.0;2/10/2025;16:21:00
sp_158;INACTIVA;cal1;;21.0;30/09/2025;12:48:00
sn_1043;INACTIVA;cal1;;21.0;30/09/2025;16:13:00
sp_106;INACTIVA;cal1;;25.0;26/09/2025;14:21:00
sn_1046;INACTIVA;cal1;;26.0;25/09/2025;18:11:00
sn_1005;INACTIVA;cal2;0.0;50.0;1/09/2025;16:03:00
sm_517;INACTIVA;cal1;;240.0;24/02/2025;8:26:00
sn_1032;INACTIVA;;;394.0;22/09/2024;19:58:00
sn_1015;INACTIVA;;;587.0;14/03/2024;6:30:00
sp_152;INACTIVA;;;989.0;6/02/2023;10:17:00
