estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad;
sp_135;ACTIVA;cal1;;;01/02/2026;10:06;
sp_134;ACTIVA;cal1;;;01/02/2026;10:06;
sp_133;ACTIVA;cal1;;;01/02/2026;10:01;
sp_132;ACTIVA;cal1;;;01/02/2026;10:06;
sp_131;ACTIVA;cal1;;;01/02/2026;10:06;
sp_109;ACTIVA;cal1;;;01/02/2026;10:06;
sp_108;ACTIVA;cal1;;;01/02/2026;10:06;
sp_103;ACTIVA;cal1;;;01/02/2026;10:06;
sp_102;ACTIVA;cal1;;;01/02/2026;10:06;
sp_101;ACTIVA;cal1;;;01/02/2026;10:06;
sn_1049;ACTIVA;cal1;;;01/02/2026;10:11;
sn_1041;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1040;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1036;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1035;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1022;ACTIVA;cal1;;;01/01/2026;17:02;
sn_1021;ACTIVA;cal1;;;01/02/2026;10:07;
sn_1019;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1018;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1004;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1003;ACTIVA;cal1;;;01/02/2026;10:08;
sm_516;ACTIVA;cal2;;;01/02/2026;10:11;
sm_514;ACTIVA;cal2;;;01/02/2026;10:09;
sm_513;ACTIVA;cal2;;;01/02/2026;10:11;
sm_512;ACTIVA;cal2;;;01/02/2026;10:11;
sm_511;ACTIVA;cal2;;;01/02/2026;10:11;
sm_509;ACTIVA;cal2;;;01/02/2026;9:11;
sm_508;ACTIVA;cal2;;;01/02/2026;10:11;
sm_506;ACTIVA;cal2;;;01/02/2026;10:06;
sm_504;ACTIVA;cal2;;;01/02/2026;10:06;
sm_502;ACTIVA;cal2;;;01/02/2026;10:11;
sm_501;ACTIVA;cal2;;;01/02/2026;10:11;
sn_1032;INACTIVA;cal1;;469;09/22/2024;19:58;
sn_1015;INACTIVA;cal1;;662;03/14/2024;6:30;
sp_152;INACTIVA;cal1;;1064;02/06/2023;10:17;
