estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad;
sp_160;ACTIVA;cal1;;;01/02/2026;9:58;
sp_144;ACTIVA;cal1;;;01/02/2026;10:06;
sp_137;ACTIVA;cal1;;;01/02/2026;10:06;
sn_1051;ACTIVA;cal1;;;01/02/2026;8:49;
sn_1050;ACTIVA;cal1;;;01/02/2026;10:11;
sn_1048;ACTIVA;cal1;;;01/02/2026;10:11;
sn_1047;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1046;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1045;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1044;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1039;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1038;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1037;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1034;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1033;ACTIVA;cal1;;;01/02/2026;10:08;
sn_1031;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1030;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1023;ACTIVA;cal1;;;01/02/2026;10:10;
sn_1016;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1012;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1010;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1008;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1007;ACTIVA;cal1;;;01/02/2026;10:09;
sn_1002;ACTIVA;cal1;;;01/02/2026;10:08;
sn_1014;ACTIVA;cal1;;;01/01/2026;1:13;
sp_158;ACTIVA;cal1;;;12/30/2025;11:51;
sn_1013;ACTIVA;cal1;;;12/30/2025;22:47;
sm_515;ACTIVA;cal2;;;12/27/2025;9:06;
sm_505;ACTIVA;cal2;;;12/26/2025;7:41;
sp_161;INACTIVA;cal1;;12;12/23/2025;12:07;
sp_104;INACTIVA;cal1;;14;12/21/2025;12:31;
sm_510;INACTIVA;cal2;;16;12/19/2025;19:26;
sn_1043;INACTIVA;cal1;;17;12/18/2025;15:28;
sn_1042;INACTIVA;cal1;;18;12/17/2025;14:41;
sm_503;INACTIVA;cal2;;20;12/16/2025;9:46;
sp_138;INACTIVA;cal1;;28;12/07/2025;22:36;
sn_1001;INACTIVA;cal1;;29;12/07/2025;1:23;
sn_1009;INACTIVA;cal1;;32;12/03/2025;16:11;
sm_507;INACTIVA;cal2;;46;11/19/2025;15:16;
sn_1005;INACTIVA;cal2;01/05/1900 0:26;48;11/18/2025;11:26;
sn_1052;INACTIVA;cal1;;52;11/14/2025;9:08;
sp_106;INACTIVA;cal1;;55;11/11/2025;11:04;
sn_1011;INACTIVA;cal1;;69;10/28/2025;11:01;
sp_147;INACTIVA;cal1;;73;10/23/2025;22:11;
sm_517;INACTIVA;cal2;;315;02/24/2025;8:26;
sp_168;ACTIVA;cal1;;;01/02/2026;10:09;
sp_167;ACTIVA;cal1;;;01/02/2026;10:09;
sp_166;ACTIVA;cal1;;;01/02/2026;10:07;
sp_165;ACTIVA;cal1;;;01/02/2026;10:07;
sp_164;ACTIVA;cal1;;;01/02/2026;10:02;
sp_163;ACTIVA;cal1;;;01/02/2026;9:15;
sp_162;ACTIVA;cal1;;;01/02/2026;10:09;
sp_159;ACTIVA;cal1;;;01/02/2026;10:05;
sp_157;ACTIVA;cal1;;;01/02/2026;10:07;
sp_156;ACTIVA;cal1;;;01/02/2026;10:06;
sp_155;ACTIVA;cal1;;;01/02/2026;10:08;
sp_154;ACTIVA;cal1;;;01/01/2026;17:01;
sp_151;ACTIVA;cal1;;;01/02/2026;10:07;
sp_150;ACTIVA;cal1;;;01/02/2026;10:06;
sp_149;ACTIVA;cal1;;;01/02/2026;10:06;
sp_146;ACTIVA;cal1;;;01/02/2026;10:06;
sp_145;ACTIVA;cal1;;;01/02/2026;10:06;
sp_143;ACTIVA;cal1;;;01/02/2026;10:06;
sp_142;ACTIVA;cal1;;;01/02/2026;10:06;
sp_141;ACTIVA;cal1;;;01/02/2026;10:06;
sp_140;ACTIVA;cal1;;;01/02/2026;10:06;
sp_139;ACTIVA;cal1;;;01/02/2026;10:06;
sp_136;ACTIVA;cal1;;;01/02/2026;10:06;
