estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad
sn_1012;ACTIVA;cal2;19.0;0.0;17/10/2025;10:53:00
sn_1008;ACTIVA;cal2;19.0;0.0;17/10/2025;11:04:00
sm_505;ACTIVA;cal2;0.0;0.0;17/10/2025;11:06:00
sp_160;ACTIVA;cal1;;0.0;17/10/2025;10:53:00
sp_159;ACTIVA;cal1;;0.0;17/10/2025;11:00:00
sp_157;ACTIVA;cal1;;0.0;17/10/2025;11:02:00
sp_155;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_154;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_151;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_150;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_149;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_146;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_145;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_144;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_143;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_141;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_140;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_139;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_137;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_136;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_135;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_134;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_133;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_132;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_131;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_109;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_108;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_104;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_103;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sp_102;ACTIVA;cal1;;0.0;17/10/2025;9:41:00
sp_101;ACTIVA;cal1;;0.0;17/10/2025;11:01:00
sn_1045;ACTIVA;cal1;;0.0;17/10/2025;4:37:00
sn_1044;ACTIVA;cal1;;0.0;17/10/2025;11:05:00
