estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_101,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_103,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_104,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_108,-1.0,2026-06-30 05:42:00,2026-06-30,05:42:00
sp_109,-1.0,2026-06-30 05:26:00,2026-06-30,05:26:00
sp_131,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_132,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_133,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_134,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_135,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_136,2.0,2026-06-27 14:31:00,2026-06-27,14:31:00
sp_137,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_138,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_139,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_140,-1.0,2026-06-30 05:42:00,2026-06-30,05:42:00
sp_141,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_142,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_143,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_144,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_145,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_146,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_150,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sp_151,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_155,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_156,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sp_157,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_159,-1.0,2026-06-30 05:42:00,2026-06-30,05:42:00
sp_160,1.0,2026-06-28 09:17:00,2026-06-28,09:17:00
sp_162,-1.0,2026-06-30 05:44:00,2026-06-30,05:44:00
sp_163,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_164,-1.0,2026-06-30 05:42:00,2026-06-30,05:42:00
sp_165,-1.0,2026-06-30 05:41:00,2026-06-30,05:41:00
sp_166,-1.0,2026-06-30 04:48:00,2026-06-30,04:48:00
sp_167,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_168,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_169,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_170,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_171,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sp_172,-1.0,2026-06-30 05:42:00,2026-06-30,05:42:00
sp_173,-1.0,2026-06-30 05:44:00,2026-06-30,05:44:00
sp_174,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sp_175,-1.0,2026-06-30 05:43:00,2026-06-30,05:43:00
sp_176,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sn_1001,-1.0,2026-06-30 05:45:00,2026-06-30,05:45:00
sn_1002,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1003,-1.0,2026-06-30 05:38:00,2026-06-30,05:38:00
sn_1004,2.0,2026-06-27 01:01:00,2026-06-27,01:01:00
sn_1005,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1007,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1008,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1009,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1010,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1011,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
sn_1012,-1.0,2026-06-30 05:46:00,2026-06-30,05:46:00
